Instance,Policy,Seed,Status,Nnodes,Fair Nodes,Gap,Integral
istanbul-no-cutoff,ltbrant,3,infeasible,403,403,0,2054.0433
istanbul-no-cutoff,ltbrant,4,infeasible,239,241,0,2300.201386
l152lav,ltbrant,0,infeasible,177,177,0,28.49277606
l152lav,ltbrant,1,infeasible,225,225,0,30.23153605
l152lav,ltbrant,2,infeasible,302,302,0,20.41064853
l152lav,ltbrant,3,infeasible,209,209,0,17.93139343
l152lav,ltbrant,4,infeasible,229,229,0,18.51205075
lseu,ltbrant,0,infeasible,428,430,0,10.124316
lseu,ltbrant,1,infeasible,364,364,0,9.658855689
lseu,ltbrant,2,infeasible,151,151,0,4.363560216
lseu,ltbrant,3,infeasible,403,403,0,9.09545599
lseu,ltbrant,4,infeasible,295,295,0,5.082832475
misc03,ltbrant,0,infeasible,1071,1071,0,88.32196864
misc03,ltbrant,1,infeasible,742,742,0,75.59235508
misc03,ltbrant,2,infeasible,1832,1832,0,148.4679329
misc03,ltbrant,3,infeasible,863,863,0,86.95217109
misc03,ltbrant,4,infeasible,1556,1560,0,95.07656761
neos20,ltbrant,0,infeasible,1909,1909,0,174.5344457
neos20,ltbrant,1,infeasible,940,940,0,118.6277765
neos20,ltbrant,2,infeasible,1746,1746,0,235.6809011
neos20,ltbrant,3,infeasible,1547,1547,0,239.1946746
neos20,ltbrant,4,infeasible,1718,1718,0,134.6314504
neos21,ltbrant,0,infeasible,918,918,0,816.0456537
neos21,ltbrant,1,infeasible,862,862,0,870.6164454
neos21,ltbrant,2,infeasible,719,719,0,662.0655993
neos21,ltbrant,3,infeasible,776,776,0,908.0847986
neos21,ltbrant,4,infeasible,1212,1212,0,945.4060959
neos-476283,ltbrant,0,infeasible,4227,4241,0,1778.459094
neos-476283,ltbrant,1,infeasible,4001,4017,0,3178.826598
neos-476283,ltbrant,2,infeasible,3269,3283,0,3789.760089
neos-476283,ltbrant,3,infeasible,2401,2417,0,3141.966098
neos-476283,ltbrant,4,infeasible,3345,3359,0,2684.968015
neos648910,ltbrant,0,infeasible,33,33,0,25.30605
neos648910,ltbrant,1,infeasible,95,95,0,50.1192
neos648910,ltbrant,2,infeasible,85,85,0,59.8208
neos648910,ltbrant,3,infeasible,73,73,0,69.2013
neos648910,ltbrant,4,infeasible,112,112,0,44.698
pp08aCUTS,ltbrant,0,infeasible,251,251,0,3.587741019
pp08aCUTS,ltbrant,1,infeasible,277,277,0,4.250553954
pp08aCUTS,ltbrant,2,infeasible,263,263,0,6.275183119
pp08aCUTS,ltbrant,3,infeasible,197,197,0,4.43174819
pp08aCUTS,ltbrant,4,infeasible,329,329,0,5.623054994
rmatr100-p10,ltbrant,0,infeasible,1802,1802,0,1138.211488
rmatr100-p10,ltbrant,1,infeasible,1695,1695,0,1238.055024
rmatr100-p10,ltbrant,2,infeasible,1645,1645,0,1545.316249
rmatr100-p10,ltbrant,3,infeasible,1279,1279,0,1266.203745
rmatr100-p10,ltbrant,4,infeasible,1127,1127,0,1218.355527
rmatr100-p5,ltbrant,0,infeasible,1003,1003,0,3341.450005
rmatr100-p5,ltbrant,1,infeasible,1023,1023,0,4035.558834
rmatr100-p5,ltbrant,2,infeasible,1489,1489,0,5108.710094
rmatr100-p5,ltbrant,3,infeasible,1733,1733,0,6165.710944
rmatr100-p5,ltbrant,4,infeasible,1193,1193,0,5030.175698
rmatr200-p5,ltbrant,0,timelimit,768,768,0.27447249,84222.56155
rmatr200-p5,ltbrant,1,timelimit,483,483,0.301243928,89458.97046
rmatr200-p5,ltbrant,2,timelimit,410,410,0.306044245,92111.46117
rmatr200-p5,ltbrant,3,timelimit,295,295,0.303643414,92651.5173
rmatr200-p5,ltbrant,4,timelimit,421,421,0.307018341,92449.81014
roi5alpha10n8,ltbrant,0,timelimit,1632,1632,0.324341647,100051.4526
roi5alpha10n8,ltbrant,1,timelimit,1491,1491,0.333652904,103822.0857
roi5alpha10n8,ltbrant,2,timelimit,610,610,0.329988286,105072.958
roi5alpha10n8,ltbrant,3,timelimit,482,482,0.370623882,117104.1478
roi5alpha10n8,ltbrant,4,timelimit,1484,1484,0.350876305,111446.3192
sp150x300d,ltbrant,0,infeasible,1018,1018,0,26.95442107
sp150x300d,ltbrant,1,infeasible,424,424,0,17.18877882
sp150x300d,ltbrant,2,infeasible,15751,15751,0,243.9478041
sp150x300d,ltbrant,3,infeasible,895,895,0,20.69628499
sp150x300d,ltbrant,4,infeasible,713,713,0,15.32060131
stein27,ltbrant,0,infeasible,2761,2761,0,253.3623605
stein27,ltbrant,1,infeasible,2959,2959,0,233.3643593
stein27,ltbrant,2,infeasible,2831,2831,0,163.6154308
stein27,ltbrant,3,infeasible,2685,2685,0,146.9978162
stein27,ltbrant,4,infeasible,2685,2685,0,139.0609562
supportcase7,ltbrant,0,infeasible,159,159,0,4163.17204
supportcase7,ltbrant,1,infeasible,241,241,0,5642.759317
supportcase7,ltbrant,2,infeasible,95,95,0,4204.477997
supportcase7,ltbrant,3,infeasible,147,147,0,4446.283566
supportcase7,ltbrant,4,infeasible,118,118,0,3228.649742
swath1,ltbrant,0,infeasible,1150,1150,0,344.750024
swath1,ltbrant,1,infeasible,1356,1356,0,500.4492496
swath1,ltbrant,2,infeasible,1116,1116,0,298.030993
swath1,ltbrant,3,infeasible,1392,1392,0,235.6863802
swath1,ltbrant,4,infeasible,1419,1419,0,236.4121813
vpm2,ltbrant,0,infeasible,357,357,0,21.29638276
vpm2,ltbrant,1,infeasible,243,243,0,18.31149943
vpm2,ltbrant,2,infeasible,229,229,0,14.85847713
vpm2,ltbrant,3,infeasible,375,377,0,19.48477727
vpm2,ltbrant,4,infeasible,267,267,0,16.17744904
30n20b8,brant,0,infeasible,9,9,0,5438.420778
30n20b8,brant,1,infeasible,11,11,0,7887.91222
30n20b8,brant,2,infeasible,8,8,0,13085.30165
30n20b8,brant,3,infeasible,21,21,0,19608.98456
30n20b8,brant,4,infeasible,26,26,0,17869.92464
air04,brant,0,infeasible,195,195,0,323.5402729
air04,brant,1,infeasible,191,191,0,1355.15276
air04,brant,2,infeasible,205,205,0,1404.812286
air04,brant,3,infeasible,163,163,0,462.2942076
air04,brant,4,infeasible,231,231,0,4044.399001
air05,brant,0,infeasible,415,415,0,168.3149779
air05,brant,1,infeasible,383,383,0,172.3294593
air05,brant,2,infeasible,247,247,0,231.5630261
air05,brant,3,infeasible,141,141,0,216.5556685
air05,brant,4,infeasible,361,361,0,313.2683908
cod105,brant,0,timelimit,1151,1151,0.518731782,124068.907
cod105,brant,1,timelimit,473,473,0.523809524,124309.1989
cod105,brant,2,timelimit,275,275,0.523809524,124570.9073
cod105,brant,3,timelimit,157,157,0.523809524,125214.6338
cod105,brant,4,timelimit,207,207,0.523809524,124762.1141
comp21-2idx,brant,0,timelimit,1312,1312,0.768924303,162965.8171
comp21-2idx,brant,1,timelimit,726,726,0.766094369,161573.2305
comp21-2idx,brant,2,timelimit,613,613,0.725320639,161544.11
comp21-2idx,brant,3,timelimit,812,812,0.711089344,157143.9587
comp21-2idx,brant,4,timelimit,1009,1009,0.70725025,160055.3539
dcmulti,brant,0,infeasible,35,67,0,10.7891335
dcmulti,brant,1,infeasible,35,63,0,7.698893012
dcmulti,brant,2,infeasible,29,67,0,4.726645593
dcmulti,brant,3,infeasible,27,57,0,5.058286737
dcmulti,brant,4,infeasible,23,61,0,4.770620859
eil33-2,brant,0,infeasible,9567,9713,0,2063.090496
eil33-2,brant,1,infeasible,9315,9409,0,1625.323246
